T,V,Fv,Fd,Sv,Cv,CTE,density
440.0,12.273755397374408,-7.236599206319046,-0.059462606142695905,38.78815931871543,24.127534386858713,3.43160782619508e-05,6.651948561634631
450.0,12.277973754759753,-7.240708396112151,-0.06357179593580045,39.34272385113428,24.162947942250913,3.435711355637121e-05,6.649663144113599
460.0,12.282198196388823,-7.244875755814738,-0.067739155638388,39.88613559019496,24.196127785690617,3.439483357557318e-05,6.6473760035418445
470.0,12.286428393163066,-7.249100149248288,-0.07196354907193706,40.41882708329255,24.227255833376795,3.442983297405453e-05,6.645087323086668
480.0,12.290663944360173,-7.253380482389463,-0.07624388221311315,40.94120694828652,24.25649599985245,3.446153288611091e-05,6.642797324133512
490.0,12.294904617371914,-7.25771570454286,-0.08057910436650897,41.45366216017171,24.283996312401378,3.4491304680394926e-05,6.640506136669144
500.0,12.29915011507698,-7.2621048027723125,-0.08496820259596194,41.95655887586975,24.309890676826686,3.451862661519427e-05,6.638213925150468
510.0,12.303400186835546,-7.2665468014976655,-0.08941020132131533,42.45024411925382,24.33430046676024,3.4543879692002366e-05,6.635920828518466
520.0,12.307654601110238,-7.27104076019706,-0.09390416002070956,42.93504696951972,24.35733589171584,3.4567221884082854e-05,6.6336269750416195
530.0,12.311913102441892,-7.275585770934964,-0.0984491707586136,43.411279609234974,24.37909719317865,3.4588461567431026e-05,6.6313325055248304
540.0,12.316175547953184,-7.28018095890624,-0.10304435872989004,43.87923879256669,24.39967571664922,3.4608515400715316e-05,6.629037499793384
550.0,12.32044171248912,-7.284825477738071,-0.10768887756172046,44.33920629397031,24.419154813761377,3.462671741396852e-05,6.626742081711064
560.0,12.32471146968749,-7.289518510997412,-0.11238191082106186,44.79145034699492,24.437610682370284,3.46438714518403e-05,6.624446321702831
570.0,12.328984594867096,-7.294259267519539,-0.1171226673431888,45.23622594426758,24.45511306513153,3.465918175764186e-05,6.6221503428117545
580.0,12.3332609834982,-7.299046983829747,-0.12191038365339682,45.673776250633374,24.47172591373859,3.467362473578575e-05,6.619854203252449
590.0,12.337540540809803,-7.303880921110904,-0.1267443209345545,46.10433302799883,24.48750794223764,3.4687280641126517e-05,6.617557955846933
600.0,12.34182310521673,-7.308760362678756,-0.1316237625024052,46.528117103551,24.5025131231128,3.469960937226722e-05,6.615261689086271
610.0,12.346108529419766,-7.313684614310446,-0.1365480141340961,46.945339234880706,24.51679114455679,3.471072842770461e-05,6.61296548356659
620.0,12.35039675137384,-7.318653004578782,-0.14151640440243204,47.3562009010006,24.53038781658313,3.4721329528111065e-05,6.61066937402946
630.0,12.354687676641488,-7.323664881777713,-0.14652828160136297,47.760894519891856,24.543345416509318,3.4731151284067545e-05,6.608373412448277
640.0,12.358981170726029,-7.328719612830377,-0.15158301265402707,48.15960393902064,24.555703008545144,3.473987074849405e-05,6.606077672066214
650.0,12.363277192218906,-7.3338165849865335,-0.15667998481018391,48.552505287265085,24.56749674201163,3.474824212127738e-05,6.603782176202006
660.0,12.367575591893596,-7.33895520116778,-0.16181860099143,48.93976685368387,24.578760091213642,3.4755394400075934e-05,6.601487005661345
