T	V	Fv	Fd	Sv	Cv
310	13.92197678	-7.26333132	0.004246187	28.23368933	23.02912113
320	13.92706652	-7.266343899	0.007258765	28.97888257	23.14202022
330	13.93218046	-7.269434176	0.010349042	29.70494667	23.24545136
340	13.93731659	-7.272600207	0.013515074	30.41275318	23.34042254
350	13.94247327	-7.275840141	0.016755008	31.10312558	23.42781378
360	13.94764879	-7.279152204	0.02006707	31.77684053	23.50839565
370	13.95284182	-7.282534703	0.023449569	32.43463126	23.58284502
380	13.958051	-7.285986018	0.026900885	33.07718894	23.65175801
390	13.96327527	-7.289504603	0.030419469	33.70516599	23.71566126
400	13.96851357	-7.293088971	0.034003838	34.31917763	23.7750211
410	13.97376489	-7.296737702	0.037652569	34.91980433	23.83025164
420	13.97902845	-7.300449433	0.0413643	35.50759441	23.88172149
430	13.98430343	-7.304222856	0.045137723	36.0830655	23.92975957
440	13.98958916	-7.308056717	0.048971584	36.64670692	23.97466006
450	13.99488494	-7.311949808	0.052864675	37.19898109	24.01668663
460	14.00019025	-7.315900973	0.056815839	37.74032583	24.05607618
470	14.00550451	-7.319909094	0.06082396	38.27115525	24.09304191
480	14.01082716	-7.323973098	0.064887965	38.79186165	24.12777617
490	14.01615787	-7.328091953	0.06900682	39.30281724	24.16045279
500	14.0214961	-7.332264662	0.073179529	39.80437453	24.19122916
510	14.02684158	-7.336490267	0.077405134	40.29686862	24.22024804
520	14.03219385	-7.340767839	0.081682706	40.78061725	24.24763918
530	14.03755263	-7.345096485	0.086011352	41.25592282	24.27352065
540	14.04291765	-7.349475342	0.090390209	41.72307274	24.29800014
550	14.0482886	-7.353903576	0.094818442	42.18234047	24.32117596
560	14.05366521	-7.358380379	0.099295245	42.63398646	24.34313802
570	14.05904727	-7.362904971	0.103819838	43.07825888	24.3639687
580	14.06443455	-7.367476598	0.108391465	43.51539439	24.38374354
590	14.06982679	-7.372094527	0.113009394	43.94561852	24.40253194
600	14.0752239	-7.376758053	0.117672919	44.36914706	24.42039773
610	14.08062566	-7.381466487	0.122381354	44.78618571	24.43739971
620	14.08603192	-7.386219165	0.127134031	45.19693126	24.45359208
630	14.09144248	-7.39101544	0.131930307	45.6015717	24.46902491
640	14.09685724	-7.395854687	0.136769554	46.00028719	24.48374446
650	14.10227602	-7.400736297	0.141651164	46.39324996	24.49779358
660	14.10769883	-7.405659682	0.146574548	46.78062542	24.51121195
670	14.11312542	-7.410624265	0.151539132	47.16257151	24.52403637
680	14.11855575	-7.415629491	0.156544358	47.53924013	24.53630103
690	14.1239897	-7.420674817	0.161589684	47.91077682	24.5480377
700	14.12942718	-7.425759715	0.166674582	48.27732137	24.55927595
710	14.13486808	-7.430883672	0.171798539	48.63900795	24.57004333
720	14.14031238	-7.43604619	0.176961057	48.99596566	24.5803655
730	14.14576	-7.441246782	0.182161648	49.34831851	24.59026642
740	14.15121088	-7.446484974	0.187399841	49.69618577	24.59976848
750	14.15666488	-7.451760304	0.192675171	50.03968202	24.6088926
760	14.162122	-7.457072324	0.197987191	50.3789179	24.61765835
770	14.16758222	-7.462420595	0.203335461	50.71399987	24.62608407
780	14.17304542	-7.467804688	0.208719554	51.04503027	24.63418693
790	14.17851162	-7.473224187	0.214139054	51.3721081	24.64198306
800	14.18398068	-7.478678684	0.219593551	51.69532842	24.64948759
810	14.18945267	-7.484167783	0.22508265	52.01478344	24.65671473
820	14.19492752	-7.489691096	0.230605963	52.33056178	24.66367785
830	14.20040518	-7.495248244	0.23616311	52.64274906	24.67038951
840	14.20588565	-7.500838856	0.241753723	52.95142813	24.67686157
850	14.21136884	-7.50646257	0.247377437	53.25667876	24.68310515
860	14.21685477	-7.512119034	0.253033901	53.55857833	24.6891308
870	14.22234347	-7.517807903	0.25872277	53.85720166	24.69494843
880	14.22783479	-7.523528836	0.264443703	54.15262074	24.70056739
890	14.23332884	-7.529281506	0.270196373	54.44490582	24.70599655
900	14.23882551	-7.535065587	0.275980454	54.73412431	24.71124426
910	14.24432485	-7.540880764	0.281795631	55.02034195	24.71631844
920	14.2498268	-7.546726727	0.287641594	55.30362207	24.72122658
930	14.25533139	-7.552603173	0.29351804	55.58402631	24.72597575
940	14.2608386	-7.558509805	0.299424672	55.86161419	24.73057269
950	14.2663484	-7.564446331	0.305361198	56.1364435	24.73502375
960	14.27186077	-7.570412467	0.311327334	56.40857023	24.73933498
970	14.27737576	-7.576407935	0.317322802	56.67804889	24.74351212
980	14.28289337	-7.582432462	0.323347328	56.94493222	24.7475606
